season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id,url
2025,3,III,Landmark,594487,Drew,WLA,190,https://drewrangers.com/sports/womens-lacrosse
2025,3,III,Little East,594489,Eastern Conn. St.,WLA,200,https://ecsuwarriors.com/sports/womens-lacrosse
2025,3,III,Landmark,594490,Elizabethtown,WLA,211,https://etownbluejays.com/sports/womens-lacrosse
2025,3,III,CCIW,594492,Elmhurst,WLA,212,https://elmhurstbluejays.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594494,Emerson,WLA,214,https://emersonathletics.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594496,Emmanuel (MA),WLA,215,https://emmanuelsaints.com/sports/womens-lacrosse
2025,3,III,MAC Freedom,594497,FDU-Florham,WLA,221,https://fdudevils.com/sports/womens-lacrosse
2025,3,III,ODAC,594499,Ferrum,WLA,225,https://ferrumpanthers.com/sports/womens-lacrosse
2025,3,III,MASCAC,594501,Fitchburg St.,WLA,227,https://fitchburgfalcons.com/sports/womens-lacrosse
2025,3,III,MASCAC,594503,Framingham St.,WLA,238,https://framinghamstate.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594504,Fredonia,WLA,242,https://fredoniabluedevils.com/sports/womens-lacrosse
2025,3,III,Empire 8,594506,SUNY Geneseo,WLA,247,https://geneseoknights.com/sports/womens-lacrosse
2025,3,III,Centennial,594508,Gettysburg,WLA,258,https://gettysburgbullets.com/sports/womens-lacrosse
2025,3,III,NJAC,594509,Rowan,WLA,259,https://rowanathletics.com/sports/womens-lacrosse
2025,3,III,USA South,594511,Greensboro,WLA,263,https://greensboropride.com/sports/womens-lacrosse
2025,3,III,NESCAC,594513,Hamilton,WLA,267,https://hamiltoncontinentals.com/sports/womens-lacrosse
2025,3,III,WIAC,594515,Hamline,WLA,268,https://hamlinepipers.com/sports/womens-lacrosse
2025,3,III,Empire 8,594517,Hartwick,WLA,273,https://hartwickhawks.com/sports/womens-lacrosse
2025,3,III,Centennial,594519,Haverford,WLA,276,https://haverfordathletics.com/sports/womens-lacrosse
2025,3,III,CCIW,594520,Ill. Wesleyan,WLA,300,https://iwutitans.com/sports/womens-lacrosse
2025,3,III,Atlantic East,594522,Immaculata,WLA,303,https://immaculatamacs.com/sports/womens-lacrosse
2025,3,III,OAC,594524,John Carroll,WLA,320,https://jcusports.com/sports/womens-lacrosse
2025,3,III,Michigan Intercol. Ath. Assn.,594525,Kalamazoo,WLA,326,https://kzoohornets.com/sports/womens-lacrosse
2025,3,III,NJAC,594527,Kean,WLA,329,https://keanathletics.com/sports/womens-lacrosse
2025,3,III,Little East,594529,Keene St.,WLA,330,https://keeneowls.com/sports/womens-lacrosse
2025,3,III,NCAC,594532,Kenyon,WLA,335,https://kenyonlords.com/sports/womens-lacrosse
2025,3,III,MAC Freedom,594534,King's (PA),WLA,336,https://kingseagles.com/sports/womens-lacrosse
2025,3,III,MAC Freedom,594536,Lebanon Valley,WLA,351,https://lvcollegesports.com/sports/womens-lacrosse
2025,3,III,Landmark,594538,Lycoming,WLA,373,https://lycomingwarriors.com/sports/womens-lacrosse
2025,3,III,ODAC,594540,Lynchburg,WLA,374,https://lynchburgsports.com/sports/womens-lacrosse
2025,3,III,North Atlantic,594542,Maine Maritime,WLA,378,https://mainemariners.com/sports/womens-lacrosse
2025,3,III,North Atlantic,594544,Me.-Farmington,WLA,379,https://umfbeavers.com/sports/womens-lacrosse
2025,3,III,Skyline,594546,Manhattanville,WLA,382,https://govalianathletics.com/sports/womens-lacrosse
2025,3,III,C2C,594548,Mary Washington,WLA,390,https://umweagles.com/sports/womens-lacrosse
2025,3,III,Atlantic East,594550,Marymount (VA),WLA,394,https://gomarymountsaints.com/sports/womens-lacrosse
2025,3,III,Atlantic East,594552,Marywood,WLA,397,https://marywoodpacers.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594554,MIT,WLA,398,https://mitathletics.com/sports/womens-lacrosse
2025,3,III,NACC,594556,Marian (WI),WLA,1196,https://mariansabres.com/sports/womens-lacrosse
2025,3,III,HCAC,594558,Anderson (IN),WLA,939,https://athletics.anderson.edu/sports/wlax/index
2025,3,III,WIAC,594560,UW-River Falls,WLA,801,https://uwrffalcons.com/sports/womens-lacrosse
2025,3,III,MASCAC,594562,Mass. Maritime,WLA,399,https://massmaritimeathletics.com/sports/womens-lacrosse
2025,3,III,MAC Commonwealth,594563,Messiah,WLA,411,https://gomessiahfalcons.com/sports/womens-lacrosse
2025,3,III,USA South,594565,Methodist,WLA,412,https://gomethodistmonarchs.com/sports/womens-lacrosse
2025,3,III,NJAC,594567,Montclair St.,WLA,442,https://montclairathletics.com/sports/womens-lacrosse
2025,3,III,Landmark,594569,Moravian,WLA,443,https://moraviangreyhounds.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594571,Mount Holyoke,WLA,449,https://mountholyokelycoms.com/sports/womens-lacrosse
2025,3,III,Skyline,594573,UMSV,WLA,451,https://maryvikings.com/sports/womens-lacrosse
2025,3,III,OAC,594576,Mount Union,WLA,452,https://mountunionraiders.com/sports/womens-lacrosse
2025,3,III,Centennial,594579,Muhlenberg,WLA,453,https://muhlenbergsports.com/sports/womens-lacrosse
2025,3,III,OAC,594581,Muskingum,WLA,455,https://gomuskies.com/sports/womens-lacrosse
2025,3,III,Empire 8,594583,Nazareth,WLA,461,https://nazathletics.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594585,New England Col.,WLA,467,https://necpilgrims.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594587,SUNY New Paltz,WLA,475,https://newpaltzhawks.com/sports/womens-lacrosse
2025,3,III,Skyline,594589,SUNY Maritime,WLA,478,https://sunymaritimeathletics.com/sports/womens-lacrosse
2025,3,III,CNE,594591,Nichols,WLA,484,https://nicholsathletics.com/sports/womens-lacrosse
2025,3,III,CCIW,594595,North Central (IL),WLA,492,https://northcentralcardinals.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594596,Norwich,WLA,511,https://norwichcadets.com/sports/womens-lacrosse
2025,3,III,NCAC,594598,Oberlin,WLA,515,https://oberlinyeomen.com/sports/womens-lacrosse
2025,3,III,SCIAC,594600,Occidental,WLA,516,https://oxyathletics.com/sports/womens-lacrosse
2025,3,III,OAC,594602,Ohio Northern,WLA,517,https://onupolarbears.com/sports/womens-lacrosse
2025,3,III,NCAC,594603,Ohio Wesleyan,WLA,520,https://battlingbishops.com/sports/womens-lacrosse
2025,3,III,Skyline,594605,Old Westbury,WLA,524,https://oldwestburypanthers.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594606,SUNY Oneonta,WLA,526,https://oneontareddragons.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594608,Oswego St.,WLA,530,https://oswegolakers.com/sports/womens-lacrosse
2025,3,III,OAC,594610,Otterbein,WLA,531,https://otterbeincardinals.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594612,Elms,WLA,532,https://elmsathletics.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594614,SUNY Potsdam,WLA,552,https://potsdambears.com/sports/womens-lacrosse
2025,3,III,NWC,594616,Puget Sound,WLA,557,https://loggerathletics.com/sports/womens-lacrosse
2025,3,III,NJAC,594618,Ramapo,WLA,564,https://ramaporoadrunners.com/sports/womens-lacrosse
2025,3,III,ODAC,594620,Randolph-Macon,WLA,565,https://rmyellowjackets.com/sports/womens-lacrosse
2025,3,III,ODAC,594622,Randolph,WLA,566,https://randolphwildcats.com/sports/womens-lacrosse
2025,3,III,SCIAC,594624,Redlands,WLA,567,https://redlandsathletics.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594627,Regis (MA),WLA,569,https://regisprideathletics.com/sports/womens-lacrosse
2025,3,III,Liberty League,594629,Rensselaer,WLA,570,https://rpiathletics.com/sports/womens-lacrosse
2025,3,III,Little East,594631,Rhode Island Col.,WLA,571,https://ricanchormen.com/sports/womens-lacrosse
2025,3,III,ODAC,594633,Roanoke,WLA,578,https://roanokemaroons.com/sports/womens-lacrosse
2025,3,III,Liberty League,594636,RIT,WLA,580,https://ritathletics.com/sports/womens-lacrosse
2025,3,III,Liberty League,594637,Rochester (NY),WLA,581,https://urofyellowjackets.com/sports/womens-lacrosse
2025,3,III,CNE,594640,Roger Williams,WLA,583,https://rwuathletics.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594641,St. Joseph's (ME),WLA,605,https://sjcathletics.com/sports/womens-lacrosse
2025,3,III,Liberty League,594643,St. Lawrence,WLA,607,https://stlawuathletics.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594645,Salve Regina,WLA,623,https://saluathletics.com/sports/womens-lacrosse
2025,3,III,ODAC,594647,Shenandoah,WLA,637,https://suathletics.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594649,Simmons,WLA,640,https://simmonssharks.com/sports/womens-lacrosse
2025,3,III,Liberty League,594651,Skidmore,WLA,642,https://skidmorethoroughbreds.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594653,Smith,WLA,644,https://smithpioneers.com/sports/womens-lacrosse
2025,3,III,SAA,594656,Sewanee,WLA,652,https://sewaneetigers.com/sports/womens-lacrosse
2025,3,III,Little East,594658,UMass Dartmouth,WLA,656,https://umassdcorsairs.com/sports/womens-lacrosse
2025,3,III,Little East,594660,Southern Me.,WLA,662,https://southernmainehuskies.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594662,Springfield,WLA,673,https://springfieldpride.com/sports/womens-lacrosse
2025,3,III,NJAC,594664,Stockton,WLA,681,https://stocktonospreys.com/sports/womens-lacrosse
2025,3,III,Landmark,594666,Susquehanna,WLA,685,https://susqu.edu/athletics/sports/womens-lacrosse
2025,3,III,Centennial,594668,Swarthmore,WLA,686,https://swarthmoregarnet.com/sports/womens-lacrosse
2025,3,III,ODAC,594671,Sweet Briar,WLA,687,https://sweetbriarathletics.com/sports/womens-lacrosse
2025,3,III,PAC,594673,Thiel,WLA,707,https://thieltomcats.com/sports/womens-lacrosse
2025,3,III,NESCAC,594674,Trinity (CT),WLA,713,https://bantamsports.com/sports/womens-lacrosse
2025,3,III,NESCAC,594676,Tufts,WLA,717,https://tuftsjumbos.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594678,Coast Guard,WLA,722,https://uscgabears.com/sports/womens-lacrosse
2025,3,III,Skyline,594680,Merchant Marine,WLA,724,https://usmmasports.com/sports/womens-lacrosse
2025,3,III,Liberty League,594682,Union (NY),WLA,727,https://unionathletics.com/sports/womens-lacrosse
2025,3,III,Centennial,594684,Ursinus,WLA,730,https://ursinusbears.com/sports/womens-lacrosse
2025,3,III,Empire 8,594686,Utica,WLA,733,https://uticapioneers.com/sports/womens-lacrosse
2025,3,III,Liberty League,594688,Vassar,WLA,737,https://vassarbrewers.com/sports/womens-lacrosse
2025,3,III,ODAC,594691,Va. Wesleyan,WLA,745,https://vwcmarlins.com/sports/womens-lacrosse
2025,3,III,PAC,594693,Wash. & Jeff.,WLA,751,https://wjpresidents.com/sports/womens-lacrosse
2025,3,III,Centennial,594695,Washington Col.,WLA,753,https://washcollshoremen.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594697,Wellesley,WLA,760,https://wellesleyblue.com/sports/womens-lacrosse
2025,3,III,CNE,594699,Wentworth,WLA,762,https://wentworthathletics.com/sports/womens-lacrosse
2025,3,III,NESCAC,594701,Wesleyan (CT),WLA,764,https://wesleyancardinals.com/sports/womens-lacrosse
2025,3,III,Little East,594703,WestConn,WLA,770,https://westconncolonials.com/sports/womens-lacrosse
2025,3,III,Centennial,594705,McDaniel,WLA,773,https://mcdanielgreeneterror.com/sports/womens-lacrosse
2025,3,III,CNE,594707,Western New Eng.,WLA,775,https://wnebearathletics.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594710,Wheaton (MA),WLA,779,https://wheatonlyons.com/sports/womens-lacrosse
2025,3,III,NWC,594712,Whitman,WLA,780,https://whitmanblues.com/sports/womens-lacrosse
2025,3,III,SCIAC,594714,Whittier,WLA,781,https://whittierpoets.com/sports/womens-lacrosse
2025,3,III,MAC Commonwealth,594716,Widener,WLA,783,https://widenerpride.com/sports/womens-lacrosse
2025,3,III,Landmark,594718,Wilkes,WLA,784,https://wilkescolonels.com/sports/womens-lacrosse
2025,3,III,NESCAC,594720,Williams,WLA,789,https://ephsports.williams.edu/sports/womens-lacrosse
2025,3,III,NCAC,594722,Wittenberg,WLA,806,https://wittenbergtigers.com/sports/womens-lacrosse
2025,3,III,NCAC,594724,Wooster,WLA,807,https://fightingscots.com/sports/womens-lacrosse
2025,3,III,MASCAC,594726,Worcester St.,WLA,809,https://worcesterstateathletics.com/sports/womens-lacrosse
2025,3,III,MAC Commonwealth,594727,Alvernia,WLA,938,https://alverniagoldenwolves.com/sports/womens-lacrosse
2025,3,III,Liberty League,594730,Bard,WLA,962,https://bardathletics.com/sports/womens-lacrosse
2025,3,III,MAC Freedom,594731,Arcadia,WLA,966,https://arcadiaknights.com/sports/womens-lacrosse
2025,3,III,SAA,594733,Berry,WLA,973,https://berryvikings.com/sports/womens-lacrosse
2025,3,III,NACC,594735,Concordia Wisconsin,WLA,1036,https://cuwfalcons.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594737,Dean,WLA,30219,https://deanathletics.com/sports/womens-lacrosse
2025,3,III,NEWMAC,594738,Clark (MA),WLA,145,https://clarkathletics.com/sports/womens-lacrosse
2025,3,III,WIAC,594740,Wis.-La Crosse,WLA,795,https://uwlax.com/sports/womens-lacrosse
